number,value,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,state
0,88887.38709217418,0.01,4,10,100,1.0,1.0,COMPLETE
1,37944.75440838359,0.1,4,5,500,1.0,5.0,COMPLETE
2,62661.00244110155,0.01,3,10,300,5.0,3.0,COMPLETE
3,45028.386578873986,0.05,6,5,300,5.0,1.0,COMPLETE
4,44995.81039605393,0.1,3,20,100,5.0,5.0,COMPLETE
5,42690.496131731095,0.1,4,10,500,5.0,5.0,COMPLETE
6,89752.28463034162,0.01,4,5,100,5.0,1.0,COMPLETE
7,39411.69047965923,0.01,4,10,500,0.1,1.0,COMPLETE
8,51859.87169745938,0.01,5,20,300,0.1,1.0,COMPLETE
9,58336.32640360339,0.01,6,5,300,1.0,5.0,COMPLETE
10,38706.118361409906,0.1,5,5,500,1.0,3.0,COMPLETE
11,38706.118361409906,0.1,5,5,500,1.0,3.0,COMPLETE
12,38706.118361409906,0.1,5,5,500,1.0,3.0,COMPLETE
13,38706.118361409906,0.1,5,5,500,1.0,3.0,COMPLETE
14,38732.69261731719,0.05,4,5,500,1.0,5.0,COMPLETE
15,38706.118361409906,0.1,5,5,500,1.0,3.0,COMPLETE
16,38786.84099229098,0.1,3,20,500,1.0,5.0,COMPLETE
17,33281.87482383622,0.1,6,5,500,0.1,5.0,COMPLETE
18,33713.99682731291,0.05,6,5,500,0.1,5.0,COMPLETE
19,43086.36822288996,0.05,6,20,100,0.1,5.0,COMPLETE
20,33713.99682731291,0.05,6,5,500,0.1,5.0,COMPLETE
21,33713.99682731291,0.05,6,5,500,0.1,5.0,COMPLETE
22,33713.99682731291,0.05,6,5,500,0.1,5.0,COMPLETE
23,33713.99682731291,0.05,6,5,500,0.1,5.0,COMPLETE
24,33713.99682731291,0.05,6,5,500,0.1,5.0,COMPLETE
25,33713.99682731291,0.05,6,5,500,0.1,5.0,COMPLETE
26,33713.99682731291,0.05,6,5,500,0.1,5.0,COMPLETE
27,33713.99682731291,0.05,6,5,500,0.1,5.0,COMPLETE
28,43086.36822288996,0.05,6,20,100,0.1,5.0,COMPLETE
29,36653.5448803716,0.05,6,10,300,0.1,5.0,COMPLETE
30,41413.537129590775,0.05,6,10,100,0.1,5.0,COMPLETE
31,33713.99682731291,0.05,6,5,500,0.1,5.0,COMPLETE
32,33713.99682731291,0.05,6,5,500,0.1,5.0,COMPLETE
33,33713.99682731291,0.05,6,5,500,0.1,5.0,COMPLETE
34,36205.97472594833,0.05,3,5,500,0.1,5.0,COMPLETE
35,35321.07070915367,0.05,6,5,500,0.1,1.0,COMPLETE
36,34060.44628337505,0.1,6,5,300,0.1,5.0,COMPLETE
37,51841.687990263024,0.01,3,10,500,5.0,5.0,COMPLETE
38,35321.07070915367,0.05,6,5,500,0.1,1.0,COMPLETE
39,44318.563934234626,0.1,4,20,100,5.0,5.0,COMPLETE
40,57422.580614922685,0.01,6,5,300,0.1,5.0,COMPLETE
41,33713.99682731291,0.05,6,5,500,0.1,5.0,COMPLETE
42,33713.99682731291,0.05,6,5,500,0.1,5.0,COMPLETE
43,33713.99682731291,0.05,6,5,500,0.1,5.0,COMPLETE
44,35321.07070915367,0.05,6,5,500,0.1,1.0,COMPLETE
45,43351.35862905522,0.1,6,10,500,5.0,5.0,COMPLETE
46,35150.917147665896,0.05,4,5,500,0.1,5.0,COMPLETE
47,43806.46118927335,0.01,3,5,500,0.1,3.0,COMPLETE
48,34060.44628337505,0.1,6,5,300,0.1,5.0,COMPLETE
49,45028.386578873986,0.05,6,5,500,5.0,1.0,COMPLETE
50,39914.5136095911,0.1,5,20,100,0.1,3.0,COMPLETE
51,33713.99682731291,0.05,6,5,500,0.1,5.0,COMPLETE
52,33713.99682731291,0.05,6,5,500,0.1,5.0,COMPLETE
53,33713.99682731291,0.05,6,5,500,0.1,5.0,COMPLETE
54,33713.99682731291,0.05,6,5,500,0.1,5.0,COMPLETE
55,35150.917147665896,0.05,4,5,500,0.1,5.0,COMPLETE
56,33713.99682731291,0.05,6,5,500,0.1,5.0,COMPLETE
57,45869.60401954765,0.01,6,5,500,1.0,5.0,COMPLETE
58,36007.04539079401,0.1,5,10,500,0.1,5.0,COMPLETE
59,35546.748562773595,0.05,6,5,500,0.1,3.0,COMPLETE
60,36205.97472594833,0.05,3,5,500,0.1,5.0,COMPLETE
61,33713.99682731291,0.05,6,5,500,0.1,5.0,COMPLETE
62,33713.99682731291,0.05,6,5,500,0.1,5.0,COMPLETE
63,33713.99682731291,0.05,6,5,500,0.1,5.0,COMPLETE
