number,value,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,state
0,16221.6309125865,0.01,4,10,100,1.0,1.0,COMPLETE
1,9280.198013048319,0.1,4,5,500,1.0,5.0,COMPLETE
2,13355.112185457387,0.01,3,10,300,5.0,3.0,COMPLETE
3,10017.10359632446,0.05,6,5,300,5.0,1.0,COMPLETE
4,10456.010517134662,0.1,3,20,100,5.0,5.0,COMPLETE
5,9650.07842144187,0.1,4,10,500,5.0,5.0,COMPLETE
6,16272.718798520578,0.01,4,5,100,5.0,1.0,COMPLETE
7,10016.590188238077,0.01,4,10,500,0.1,1.0,COMPLETE
8,11818.089042000036,0.01,5,20,300,0.1,1.0,COMPLETE
9,12848.684019931656,0.01,6,5,300,1.0,5.0,COMPLETE
10,8860.27855087675,0.1,5,5,500,1.0,3.0,COMPLETE
11,8860.27855087675,0.1,5,5,500,1.0,3.0,COMPLETE
12,8860.27855087675,0.1,5,5,500,1.0,3.0,COMPLETE
13,8860.27855087675,0.1,5,5,500,1.0,3.0,COMPLETE
14,8798.318473119352,0.05,5,5,500,1.0,3.0,COMPLETE
15,8798.318473119352,0.05,5,5,500,1.0,3.0,COMPLETE
16,9571.390658740891,0.05,5,20,500,1.0,3.0,COMPLETE
17,8884.281013287415,0.05,5,5,500,0.1,3.0,COMPLETE
18,8798.318473119352,0.05,5,5,500,1.0,3.0,COMPLETE
19,10191.8335550147,0.05,6,20,100,1.0,3.0,COMPLETE
20,8607.620287704933,0.05,3,5,500,0.1,3.0,COMPLETE
21,8607.620287704933,0.05,3,5,500,0.1,3.0,COMPLETE
22,8607.620287704933,0.05,3,5,500,0.1,3.0,COMPLETE
23,8607.620287704933,0.05,3,5,500,0.1,3.0,COMPLETE
24,8607.620287704933,0.05,3,5,500,0.1,3.0,COMPLETE
25,8607.620287704933,0.05,3,5,500,0.1,3.0,COMPLETE
26,8607.620287704933,0.05,3,5,500,0.1,3.0,COMPLETE
