year,flow,monthly_total,yearly_total,abs_delta,pct_delta,status
2010,export,295957.0,295957.0,0.0,0.0,pass
2010,import,2157722.0,2157722.0,0.0,0.0,pass
2011,export,319165.0,319171.0,-6.0,-0.0018798700383180177,pass
2011,import,2492329.0,2492345.0,-16.0,-0.0006419656989702469,pass
2012,export,276088.0,276098.0,-10.0,-0.003621902367999768,pass
2012,import,2507594.0,2507612.0,-18.0,-0.0007178143987187811,pass
2013,export,293828.0,293841.0,-13.0,-0.00442416136618103,pass
2013,import,2449039.0,2449057.0,-18.0,-0.0007349767686093056,pass
2014,export,324533.0,324547.0,-14.0,-0.004313704948743942,pass
2014,import,2538322.0,2538343.0,-21.0,-0.0008273113602062448,pass
2015,export,325291.0,325295.0,-4.0,-0.0012296530841236417,pass
2015,import,2634673.0,2634689.0,-16.0,-0.0006072823016302873,pass
2016,export,309626.0,309627.0,-1.0,-0.0003229692500976982,pass
2016,import,2789486.0,2789486.0,0.0,0.0,pass
2017,export,378008.0,378012.0,-4.0,-0.0010581674655831032,pass
2017,import,3047168.0,3047018.0,150.0,0.004922845877510405,pass
2018,export,361559.0,367498.0,-5939.0,-1.6160632166705668,documented(corruption)
2018,import,3346985.0,3347013.0,-28.0,-0.0008365668134542651,pass
2019,export,383497.0,383493.0,4.0,0.0010430438104476482,pass
2019,import,3496910.0,3496941.0,-31.0,-0.0008864890771677303,pass
2020,export,474961.0,474886.0,75.0,0.015793264067586747,pass
2020,import,3296919.0,3296634.0,285.0,0.00864518172171979,pass
2021,export,749721.0,755727.0,-6006.0,-0.7947314307944535,documented(scope)
2021,import,4652722.0,4684202.0,-31480.0,-0.6720461670952704,documented(scope)
2022,export,997775.753,997776.0,-0.24699999997392297,-2.4755055240246604e-05,pass
2022,import,5639382.0,5639398.0,-16.0,-0.000283718226661782,pass
2023,export,802892.756,873567.0,-70674.24399999995,-8.09030606696452,documented(corruption)
2023,import,5437405.705,5917007.0,-479601.2949999999,-8.105471144448535,documented(corruption)
2024,export,944286.862,944283.0,3.8619999999646097,0.0004089875598697223,pass
2024,import,6332896.588,6370363.0,-37466.411999999546,-0.5881362176692214,documented(scope)
