year,flow,partner_total,sections_total,abs_delta,pct_delta,pass
2010,export,295957.0,295958.0,-1.0,-0.00033788578109056013,True
2010,import,2157722.0,2157727.0,-5.0,-0.00023172532947865972,True
2011,export,319171.0,319165.0,6.0,0.001879905378095969,True
2011,import,2492345.0,2492348.0,-3.0,-0.00012036842367117273,True
2012,export,276098.0,276102.0,-4.0,-0.0014487399584211633,True
2012,import,2507612.0,2507610.0,2.0,7.975721902528703e-05,True
2013,export,293841.0,293844.0,-3.0,-0.0010209498917793114,True
2013,import,2449057.0,2449063.0,-6.0,-0.00024499165599251634,True
2014,export,324547.0,324543.0,4.0,0.001232502318644987,True
2014,import,2538343.0,2538336.0,7.0,0.0002757712138976085,True
2015,export,325295.0,325294.0,1.0,0.0003074142160630076,True
2015,import,2634689.0,2634694.0,-5.0,-0.00018977535911191205,True
2016,export,309627.0,309626.0,1.0,0.00032297029319243214,True
2016,import,2789486.0,2789493.0,-7.0,-0.00025094165857379817,True
2017,export,378012.0,378010.0,2.0,0.0005290865321023253,True
2017,import,3047018.0,3047018.0,0.0,0.0,True
2018,export,367498.0,367500.0,-2.0,-0.0005442176870748299,True
2018,import,3347013.0,3347011.0,2.0,5.9754808095939926e-05,True
2019,export,383493.0,383508.0,-15.0,-0.003911261303545167,True
2019,import,3496941.0,3497130.0,-189.0,-0.005404431633939831,True
2020,export,474886.0,474884.0,2.0,0.00042115548218091156,True
2020,import,3296634.0,3296636.0,-2.0,-6.0667905100836124e-05,True
2021,export,755727.0,755727.0,0.0,0.0,True
2021,import,4684202.0,4684199.0,3.0,6.404510141435067e-05,True
2022,export,997776.0,997777.0,-1.0,-0.00010022279527389386,True
2022,import,5639398.0,5639396.0,2.0,3.546479091023223e-05,True
2023,export,873567.0,873576.0,-9.0,-0.0010302480837385641,True
2023,import,5917007.0,5917026.0,-19.0,-0.00032110725895069585,True
2024,export,944283.0,944284.0,-1.0,-0.00010590034354071444,True
2024,import,6370363.0,6370372.0,-9.0,-0.0001412790336262937,True
