year,flow,rank,hs_section,value_eur_thousands,share_of_flow_pct
2010,import,1,05 Mineral products,413074.0,19.143941749813578
2010,import,2,16 Machinery. appliances and electric materials,298714.0,13.843920013977671
2010,import,3,04 Prepared foodstufs beverageas and tobacco,267005.0,12.374364319489908
2010,import,4,15 Base metal and articles of base metal,190140.0,8.812050829414472
2010,import,5,06 Product of chemical industries,144625.0,6.702655155170232
2010,export,1,15 Base metal and articles of base metal,186131.0,62.89101832016705
2010,export,2,05 Mineral products,38944.0,13.158623858790774
2010,export,3,02 Vegetable products,12217.0,4.127950587583373
2010,export,4,04 Prepared foodstufs beverageas and tobacco,11505.0,3.8873759114468944
2010,export,5,16 Machinery. appliances and electric materials,10872.0,3.67349421201657
2018,import,1,05 Mineral products,510567.0,15.254416552559881
2018,import,2,16 Machinery. appliances and electric materials,435149.0,13.001122494070081
2018,import,3,04 Prepared foodstufs beverageas and tobacco,400594.0,11.96870879719248
2018,import,4,15 Base metal and articles of base metal,372199.0,11.120339909250372
2018,import,5,17 Transport means,268754.0,8.02967184750812
2018,export,1,15 Base metal and articles of base metal,125231.0,34.076462585034015
2018,export,2,05 Mineral products,51275.0,13.952380952380953
2018,export,3,07 Plastics. rubber and articles therof,44794.0,12.188843537414966
2018,export,4,04 Prepared foodstufs beverageas and tobacco,39057.0,10.627755102040817
2018,export,5,02 Vegetable products,23826.0,6.483265306122449
2024,import,1,05 Mineral products,890945.0,13.985760957130918
2024,import,2,16 Machinery. appliances and electric materials,781110.0,12.261607328426033
2024,import,3,04 Prepared foodstufs beverageas and tobacco,774447.0,12.157013750531366
2024,import,4,17 Transport means,741662.0,11.642365626371584
2024,import,5,15 Base metal and articles of base metal,630512.0,9.897569561086856
2024,export,1,15 Base metal and articles of base metal,223403.0,23.65845444802623
2024,export,2,07 Plastics. rubber and articles therof,120503.0,12.761309097686713
2024,export,3,04 Prepared foodstufs beverageas and tobacco,106432.0,11.27118536372532
2024,export,4,20 Miscellaneous manufactured articles,103464.0,10.956873144096479
2024,export,5,05 Mineral products,86160.0,9.124373599467956
