hs_section,flow,event_year,event_label,pre_share_pct,post_share_pct,delta_pp,baseline_sigma_pp,z_score
01 Live animals,export,2022,Energy / Ukraine shock,0.2915073829570731,1.1584752905709392,0.8669679076138661,0.19491878217086386,4.44784180343324
09 Wood and articles of wood,export,2016,SAA into force,0.7571612141631877,1.168829491063412,0.41166827690022434,0.09628718635717404,4.275421190241814
09 Wood and articles of wood,export,2018,Serbia tariff onset (Nov),1.166106716753525,1.5412244897959184,0.37511777304239335,0.09628718635717404,3.8958223542944412
15 Base metal and articles of base metal,export,2016,SAA into force,48.489059128050314,35.907514226841414,-12.5815449012089,3.24341123341625,-3.8791087517930607
09 Wood and articles of wood,export,2020,Tariff removal Apr + COVID shock,1.4993168330256474,1.1434371341211749,-0.3558796989044726,0.09628718635717404,-3.6960234520131157
15 Base metal and articles of base metal,export,2022,Energy / Ukraine shock,32.31021255029925,21.32219924893037,-10.988013301368877,3.24341123341625,-3.3877952903910127
06 Product of chemical industries,import,2020,Tariff removal Apr + COVID shock,7.063677930188469,8.612173136494294,1.5484952063058248,0.4944221823170241,3.131929071323357
05 Mineral products,export,2022,Energy / Ukraine shock,5.94526859567013,18.174501917763187,12.229233322093059,3.9397090094666383,3.1040955798277765
01 Live animals,import,2022,Energy / Ukraine shock,4.240234029339915,4.968812262873541,0.7285782335336268,0.23890153581846948,3.049700919826822
06 Product of chemical industries,export,2020,Tariff removal Apr + COVID shock,2.12824765063571,3.9538076667143978,1.8255600160786876,0.638911458034622,2.8572973502374754
10 Paper and their articles,export,2016,SAA into force,0.8687525745940595,1.2844528560263027,0.41570028143224313,0.14912589397076906,2.7875794763968136
17 Transport means,export,2018,Serbia tariff onset (Nov),0.46374434538768816,0.8598639455782313,0.39611960019054315,0.14226681299078237,2.784342967015141
14 Pearls. precious stones. metals etc,export,2016,SAA into force,1.6031651367685846,0.0019378217591545929,-1.60122731500943,0.620325813367794,-2.5812682311513853
17 Transport means,import,2022,Energy / Ukraine shock,9.635969778397545,7.265068812333803,-2.3709009660637417,1.0019199052437004,-2.366357783347022
08 Leather and their articles,import,2020,Tariff removal Apr + COVID shock,0.2996743043581451,0.21961781646502676,-0.08005648789311837,0.03399969392959502,-2.354623781581552
07 Plastics. rubber and articles therof,export,2018,Serbia tariff onset (Nov),9.425676569402926,12.188843537414966,2.7631669680120403,1.2112370268021224,2.2812768325843575
09 Wood and articles of wood,import,2018,Serbia tariff onset (Nov),2.5331652126767876,2.196497113394608,-0.3366680992821798,0.14765659880047616,-2.280074863007708
18 Optical. medical. photog. musical instr,export,2022,Energy / Ukraine shock,0.18776621716572253,0.3099891057821537,0.12222288861643119,0.05371081283305898,2.275573244372929
09 Wood and articles of wood,export,2022,Energy / Ukraine shock,1.3503553531897101,1.558965580485419,0.20861022729570888,0.09628718635717404,2.1665419375936104
05 Mineral products,import,2022,Energy / Ukraine shock,13.435552161639588,18.53904212436935,5.1034899627297605,2.424124104345916,2.105292362540489
05 Mineral products,export,2016,SAA into force,12.793042601462062,20.632957180598527,7.839914579136465,3.9397090094666383,1.989973005696134
04 Prepared foodstufs beverageas and tobacco,import,2018,Serbia tariff onset (Nov),12.992735848623145,11.96870879719248,-1.0240270514306644,0.5166352053442878,-1.9821085377800545
13 Articl. of stone. plaster. ceramic product and glass,export,2022,Energy / Ukraine shock,2.544701988945744,3.0488776550271255,0.5041756660813816,0.2746484904201355,1.8357124967631668
18 Optical. medical. photog. musical instr,export,2020,Tariff removal Apr + COVID shock,0.2834360691302398,0.18657187860614383,-0.09686419052409595,0.05371081283305898,-1.8034392967606718
07 Plastics. rubber and articles therof,export,2022,Energy / Ukraine shock,10.642202806039748,12.815488831672809,2.173286025633061,1.2112370268021224,1.794269806439881
18 Optical. medical. photog. musical instr,export,2018,Serbia tariff onset (Nov),0.15687415676833946,0.2522448979591837,0.09537074119084424,0.05371081283305898,1.775633920999676
07 Plastics. rubber and articles therof,export,2016,SAA into force,7.215011650998789,9.324798305051901,2.1097866540531127,1.2112370268021224,1.741844583155882
05 Mineral products,import,2020,Tariff removal Apr + COVID shock,14.802252132462906,10.732455751863414,-4.069796380599492,2.424124104345916,-1.678872947677576
15 Base metal and articles of base metal,import,2018,Serbia tariff onset (Nov),10.07887055475222,11.120339909250372,1.0414693544981528,0.6241703054703209,1.6685660073389605
17 Transport means,import,2016,SAA into force,6.228958657058467,7.886952933741006,1.6579942766825395,1.0019199052437004,1.6548171844926665
21 Works of art,export,2020,Tariff removal Apr + COVID shock,0.010690780896356791,0.04337901466463389,0.0326882337682771,0.019851352297940904,1.6466502270310175
12 Footwear,import,2020,Tariff removal Apr + COVID shock,1.2461075224541267,1.0639027178008127,-0.182204804653314,0.11325629650766765,-1.6087830016671827
09 Wood and articles of wood,import,2016,SAA into force,2.3702562802359592,2.6041291374454065,0.23387285720944728,0.14765659880047616,1.5838970903391356
16 Machinery. appliances and electric materials,import,2022,Energy / Ukraine shock,12.769440410196065,11.07854458172471,-1.690895828471355,1.096949478403231,-1.541452784983953
08 Leather and their articles,export,2020,Tariff removal Apr + COVID shock,1.7063529313599717,0.8688437597392206,-0.8375091716207511,0.5451819769264504,-1.5362011347886837
03 Edible oils,import,2022,Energy / Ukraine shock,0.8876651056029004,1.083183376375768,0.19551827077286754,0.12779015895234713,1.5299947380594165
10 Paper and their articles,import,2022,Energy / Ukraine shock,1.3611505403591948,1.5319725729493017,0.17082203259010686,0.11232719233382114,1.5207540493173461
04 Prepared foodstufs beverageas and tobacco,import,2020,Tariff removal Apr + COVID shock,12.0235450212031,12.807116102596707,0.7835710813936068,0.5166352053442878,1.516681544904459
05 Mineral products,import,2016,SAA into force,15.339580232087673,11.741345111817811,-3.5982351202698624,2.424124104345916,-1.4843444334467144
13 Articl. of stone. plaster. ceramic product and glass,export,2016,SAA into force,0.7534722435704316,1.1542958278697526,0.40082358429932097,0.2746484904201355,1.459405743269052
13 Articl. of stone. plaster. ceramic product and glass,export,2018,Serbia tariff onset (Nov),1.714240364011534,2.11265306122449,0.3984126972129558,0.2746484904201355,1.4506276608456707
05 Mineral products,export,2018,Serbia tariff onset (Nov),19.231766355387425,13.952380952380953,-5.279385403006472,3.9397090094666383,-1.340044503368334
01 Live animals,import,2016,SAA into force,4.2499053020958035,3.9395689467584254,-0.31033635533737813,0.23890153581846948,-1.2990136470834108
20 Miscellaneous manufactured articles,export,2020,Tariff removal Apr + COVID shock,5.215015071393556,10.482349373741798,5.2673343023482415,4.057579047633024,1.2981470577685785
18 Optical. medical. photog. musical instr,export,2016,SAA into force,0.10359859081323357,0.17214316627156634,0.06854457545833277,0.05371081283305898,1.2761783306348256
05 Mineral products,export,2020,Tariff removal Apr + COVID shock,10.436288160872785,5.492709798603449,-4.943578362269336,3.9397090094666383,-1.2548079948012716
10 Paper and their articles,export,2020,Tariff removal Apr + COVID shock,1.1360910333030863,0.9507585010234079,-0.18533253227967839,0.14912589397076906,-1.2427924309108007
03 Edible oils,export,2022,Energy / Ukraine shock,0.22428734185757554,0.4535081486143697,0.22922080675679418,0.1858245843196809,1.2335332679257183
11 Textils and textile articles,export,2016,SAA into force,3.675751781465382,2.836971055402324,-0.838780726063058,0.6988173265480454,-1.200286103675178
07 Plastics. rubber and articles therof,import,2016,SAA into force,6.192977248970848,6.754632472639293,0.5616552236684447,0.4718109271642996,1.1904243656333513
17 Transport means,export,2022,Energy / Ukraine shock,0.9594734606544427,1.114176815059878,0.15470335440543537,0.14226681299078237,1.0874170240635024
06 Product of chemical industries,import,2018,Serbia tariff onset (Nov),7.562410199086451,7.026627638809672,-0.535782560276779,0.4944221823170241,-1.0836539690956555
07 Plastics. rubber and articles therof,import,2020,Tariff removal Apr + COVID shock,6.31660819014449,6.812429397725439,0.49582120758094916,0.4718109271642996,1.0508896234365688
16 Machinery. appliances and electric materials,import,2018,Serbia tariff onset (Nov),11.861465865971255,13.001122494070081,1.1396566280988267,1.096949478403231,1.0389326496218971
18 Optical. medical. photog. musical instr,import,2020,Tariff removal Apr + COVID shock,1.2315241355054,1.3687892748850647,0.13726513937966467,0.13233126100889392,1.037284299515888
20 Miscellaneous manufactured articles,import,2016,SAA into force,2.995034717504196,3.26156043410039,0.26652571659619406,0.25700579443927235,1.037041663506817
20 Miscellaneous manufactured articles,import,2018,Serbia tariff onset (Nov),2.8960117728218213,3.1535599972632298,0.25754822444140846,0.25700579443927235,1.0021105749904182
07 Plastics. rubber and articles therof,export,2020,Tariff removal Apr + COVID shock,13.252396299425305,12.043783323927528,-1.2086129754977772,1.2112370268021224,-0.9978335773706711
06 Product of chemical industries,export,2016,SAA into force,0.8822788001008318,1.5189292888840085,0.6366504887831766,0.638911458034622,0.9964612166161483
16 Machinery. appliances and electric materials,export,2022,Energy / Ukraine shock,4.068929653168406,3.08786432238867,-0.9810653307797361,0.9875928276598049,-0.9933904978881465
16 Machinery. appliances and electric materials,import,2016,SAA into force,11.781292248739323,12.821971591253321,1.0406793425139984,1.096949478403231,0.948703074300977
06 Product of chemical industries,import,2022,Energy / Ukraine shock,7.596645659161791,7.145782988107237,-0.45086267105455313,0.4944221823170241,-0.9118981453090619
03 Edible oils,import,2020,Tariff removal Apr + COVID shock,0.8593904144255432,0.9747815652076844,0.11539115078214124,0.12779015895234713,0.9029736853615663
04 Prepared foodstufs beverageas and tobacco,export,2020,Tariff removal Apr + COVID shock,10.384398760912418,9.172766401900253,-1.2116323590121656,1.3466412831300434,-0.8997439586850686
07 Plastics. rubber and articles therof,import,2022,Energy / Ukraine shock,7.233851508016632,6.812804066251067,-0.4210474417655652,0.4718109271642996,-0.892407143463515
01 Live animals,import,2020,Tariff removal Apr + COVID shock,4.253916783190788,4.465400487041943,0.21148370385115456,0.23890153581846948,0.8852337559347107
15 Base metal and articles of base metal,import,2022,Energy / Ukraine shock,11.073269944338403,10.521552308084058,-0.5517176362543452,0.6241703054703209,-0.883921633917875
02 Vegetable products,export,2022,Energy / Ukraine shock,4.226526245588685,3.338020419392309,-0.8885058261963761,1.0477960186528132,-0.847975951787599
12 Footwear,import,2016,SAA into force,1.1611974673339673,1.255246024994506,0.09404855766053877,0.11325629650766765,0.8304046711802157
04 Prepared foodstufs beverageas and tobacco,export,2016,SAA into force,7.819695413994725,8.929805636477557,1.1101102224828319,1.3466412831300434,0.8243548125173806
16 Machinery. appliances and electric materials,export,2016,SAA into force,3.786113485032002,2.9823076873389187,-0.8038057976930832,0.9875928276598049,-0.8139040454534056
10 Paper and their articles,export,2022,Energy / Ukraine shock,1.0028753769549057,1.123798203406172,0.12092282645126629,0.14912589397076906,0.8108774621996163
16 Machinery. appliances and electric materials,import,2020,Tariff removal Apr + COVID shock,12.33625858918599,13.195087355716554,0.8588287665305643,1.096949478403231,0.782924631844225
20 Miscellaneous manufactured articles,import,2020,Tariff removal Apr + COVID shock,2.8583438419503993,2.6572542434166224,-0.20108959853377684,0.25700579443927235,-0.7824321586698393
10 Paper and their articles,import,2018,Serbia tariff onset (Nov),1.5120357017910626,1.4253015601084071,-0.08673414168265547,0.11232719233382114,-0.7721562328816463
12 Footwear,export,2018,Serbia tariff onset (Nov),0.721938573053623,0.5610884353741497,-0.16085013767947332,0.20924042870319084,-0.7687335505684729
02 Vegetable products,import,2020,Tariff removal Apr + COVID shock,4.590907401211851,4.9732818545935915,0.3823744533817406,0.5053982417650272,0.7565804978789704
03 Edible oils,import,2018,Serbia tariff onset (Nov),0.9308116985196674,0.8344460176557531,-0.09636568086391428,0.12779015895234713,-0.7540931293453432
12 Footwear,export,2016,SAA into force,0.9317724888869761,1.0887328583516889,0.1569603694647128,0.20924042870319084,0.7501436048353843
17 Transport means,import,2018,Serbia tariff onset (Nov),8.781175562467961,8.02967184750812,-0.751503714959842,1.0019199052437004,-0.7500636637986059
14 Pearls. precious stones. metals etc,export,2020,Tariff removal Apr + COVID shock,0.889420820426171,0.4270516589314443,-0.4623691614947267,0.620325813367794,-0.7453650187221629
06 Product of chemical industries,export,2018,Serbia tariff onset (Nov),1.5560434909129388,2.0258503401360546,0.4698068492231158,0.638911458034622,0.7353238751865636
02 Vegetable products,import,2018,Serbia tariff onset (Nov),4.882839550012504,4.533985696491586,-0.348853853520918,0.5053982417650272,-0.6902553762407215
11 Textils and textile articles,import,2022,Energy / Ukraine shock,5.034307893409311,4.737049854275174,-0.29725803913413706,0.4356761127545125,-0.6822913408191168
20 Miscellaneous manufactured articles,export,2022,Energy / Ukraine shock,20.746512960367962,18.01394499973441,-2.7325679606335527,4.057579047633024,-0.6734478684346489
02 Vegetable products,export,2020,Tariff removal Apr + COVID shock,5.994399073813323,6.693634656042318,0.6992355822289946,1.0477960186528132,0.667339415097249
04 Prepared foodstufs beverageas and tobacco,export,2018,Serbia tariff onset (Nov),9.75662019523293,10.627755102040817,0.8711349068078871,1.3466412831300434,0.6468945499599411
16 Machinery. appliances and electric materials,export,2018,Serbia tariff onset (Nov),2.494378455596413,3.1300680272108843,0.6356895716144715,0.9875928276598049,0.643675767796733
