hs_section,flow,event_year,event_label,pre_share_pct,post_share_pct,delta_pp,baseline_sigma_pp,z_score
15 Base metal and articles of base metal,export,2016,SAA into force,48.489059128050314,35.907514226841414,-12.5815449012089,3.24341123341625,-3.8791087517930607
05 Mineral products,export,2022,Energy / Ukraine shock,5.94526859567013,18.174501917763187,12.229233322093059,3.9397090094666383,3.1040955798277765
15 Base metal and articles of base metal,export,2022,Energy / Ukraine shock,32.31021255029925,21.32219924893037,-10.988013301368877,3.24341123341625,-3.3877952903910127
05 Mineral products,export,2016,SAA into force,12.793042601462062,20.632957180598527,7.839914579136465,3.9397090094666383,1.989973005696134
05 Mineral products,export,2018,Serbia tariff onset (Nov),19.231766355387425,13.952380952380953,-5.279385403006472,3.9397090094666383,-1.340044503368334
20 Miscellaneous manufactured articles,export,2020,Tariff removal Apr + COVID shock,5.215015071393556,10.482349373741798,5.2673343023482415,4.057579047633024,1.2981470577685785
05 Mineral products,import,2022,Energy / Ukraine shock,13.435552161639588,18.53904212436935,5.1034899627297605,2.424124104345916,2.105292362540489
05 Mineral products,export,2020,Tariff removal Apr + COVID shock,10.436288160872785,5.492709798603449,-4.943578362269336,3.9397090094666383,-1.2548079948012716
05 Mineral products,import,2020,Tariff removal Apr + COVID shock,14.802252132462906,10.732455751863414,-4.069796380599492,2.424124104345916,-1.678872947677576
05 Mineral products,import,2016,SAA into force,15.339580232087673,11.741345111817811,-3.5982351202698624,2.424124104345916,-1.4843444334467144
07 Plastics. rubber and articles therof,export,2018,Serbia tariff onset (Nov),9.425676569402926,12.188843537414966,2.7631669680120403,1.2112370268021224,2.2812768325843575
20 Miscellaneous manufactured articles,export,2022,Energy / Ukraine shock,20.746512960367962,18.01394499973441,-2.7325679606335527,4.057579047633024,-0.6734478684346489
17 Transport means,import,2022,Energy / Ukraine shock,9.635969778397545,7.265068812333803,-2.3709009660637417,1.0019199052437004,-2.366357783347022
07 Plastics. rubber and articles therof,export,2022,Energy / Ukraine shock,10.642202806039748,12.815488831672809,2.173286025633061,1.2112370268021224,1.794269806439881
07 Plastics. rubber and articles therof,export,2016,SAA into force,7.215011650998789,9.324798305051901,2.1097866540531127,1.2112370268021224,1.741844583155882
