iso2,year,flow,value_eur_thousands
AL,2010,export,30841.0
AL,2010,import,69714.0
AL,2011,export,34566.0
AL,2011,import,96400.0
AL,2012,export,40180.0
AL,2012,import,110528.0
AL,2013,export,43774.0
AL,2013,import,110597.0
AL,2014,export,44011.0
AL,2014,import,133702.0
AL,2015,export,40254.0
AL,2015,import,151897.0
AL,2016,export,42053.0
AL,2016,import,115791.0
AL,2017,export,60257.0
AL,2017,import,151815.0
AL,2018,export,68252.0
AL,2018,import,206492.0
AL,2019,export,67378.0
AL,2019,import,223899.0
AL,2020,export,110231.0
AL,2020,import,190980.0
AL,2021,export,111329.0
AL,2021,import,266858.0
AL,2022,export,168608.0
AL,2022,import,255862.0
AL,2023,export,125200.0
AL,2023,import,328267.0
AL,2024,export,170972.0
AL,2024,import,338578.0
ME,2010,export,3920.0
ME,2010,import,11454.0
ME,2011,export,6988.0
ME,2011,import,12232.0
ME,2012,export,16759.0
ME,2012,import,10510.0
ME,2013,export,17310.0
ME,2013,import,11387.0
ME,2014,export,16069.0
ME,2014,import,13848.0
ME,2015,export,12140.0
ME,2015,import,15676.0
ME,2016,export,13890.0
ME,2016,import,13692.0
ME,2017,export,19876.0
ME,2017,import,16039.0
ME,2018,export,19425.0
ME,2018,import,16322.0
ME,2019,export,19557.0
ME,2019,import,28620.0
ME,2020,export,18577.0
ME,2020,import,24331.0
ME,2021,export,24607.0
ME,2021,import,25135.0
ME,2022,export,38264.0
ME,2022,import,24082.0
ME,2023,export,44981.0
ME,2023,import,27642.0
ME,2024,export,44459.0
ME,2024,import,25933.0
MK,2010,export,26308.0
MK,2010,import,319313.0
MK,2011,export,30949.0
MK,2011,import,365961.0
MK,2012,export,26376.0
MK,2012,import,287739.0
MK,2013,export,26139.0
MK,2013,import,185020.0
MK,2014,export,35960.0
MK,2014,import,139668.0
MK,2015,export,33355.0
MK,2015,import,143846.0
MK,2016,export,38578.0
MK,2016,import,156727.0
MK,2017,export,45850.0
MK,2017,import,156498.0
MK,2018,export,43737.0
MK,2018,import,172176.0
MK,2019,export,44125.0
MK,2019,import,240641.0
MK,2020,export,44082.0
MK,2020,import,188589.0
MK,2021,export,86984.0
MK,2021,import,242785.0
MK,2022,export,119200.0
MK,2022,import,282060.0
MK,2023,export,121589.0
MK,2023,import,310879.0
MK,2024,export,146196.0
MK,2024,import,297714.0
XS,2010,export,3941.0
XS,2010,import,260471.0
XS,2011,export,7198.0
XS,2011,import,254917.0
XS,2012,export,14968.0
XS,2012,import,278388.0
XS,2013,export,14463.0
XS,2013,import,285356.0
XS,2014,export,27292.0
XS,2014,import,368234.0
XS,2015,export,32262.0
XS,2015,import,382129.0
XS,2016,export,41331.0
XS,2016,import,387647.0
XS,2017,export,48246.0
XS,2017,import,449918.0
XS,2018,export,33529.0
XS,2018,import,388928.0
XS,2019,export,27361.0
XS,2019,import,5784.0
XS,2020,export,30522.0
XS,2020,import,174029.0
XS,2021,export,44265.0
XS,2021,import,306354.0
XS,2022,export,62896.0
XS,2022,import,372065.0
XS,2023,export,49642.0
XS,2023,import,198736.0
XS,2024,export,53259.0
XS,2024,import,129723.0
