rank_imports,iso2,partner_name,imports,share_imports_pct,rank_exports,exports,share_exports_pct
1.0,TR,TURKEY,918015.0,14.411490951128732,9.0,27568.0,2.91946376245257
2.0,DE,GERMANY,903145.0,14.17805373012114,3.0,100677.0,10.661740177467983
3.0,CN,CHINA,759830.0,11.928218133032843,,,
4.0,AL,ALBANIA,338578.0,5.3151787097719145,1.0,170972.0,18.106012710172692
5.0,IT,ITALY,331443.0,5.203169659880242,8.0,37401.0,3.9607829432490047
6.0,GR,GREECE,315432.0,4.951820410011207,,,
7.0,MK,"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",297714.0,4.673673760259189,2.0,146196.0,15.482223020005655
8.0,PL,POLAND,208609.0,3.27485576578162,,,
9.0,SA,SAUDI ARABIA,184839.0,2.9017015799476957,,,
10.0,HR,CROATIA,134577.0,2.1126617949925124,18.0,12176.0,1.2894439484773104
11.0,BG,BULGARIA,131899.0,2.0706211172616227,15.0,14474.0,1.5328031956521508
12.0,XS,SERBIA 06/2005,129723.0,2.036461104288353,5.0,53259.0,5.640152369575646
13.0,SI,SLOVENIA,120689.0,1.8946405357219387,20.0,7562.0,0.8008192459252153
14.0,US,UNITED STATES,107863.0,1.6932911210182824,7.0,39338.0,4.165912125919878
15.0,HU,HUNGARY,103681.0,1.6276398460852797,,,
16.0,AT,AUSTRIA,99797.0,1.5666667346936534,11.0,23649.0,2.504439876604789
17.0,FR,FRANCE,94138.0,1.4778287230136289,13.0,20324.0,2.152320861436667
18.0,BR,BRAZIL,87897.0,1.379854163746085,,,
19.0,RO,ROMANIA,85696.0,1.3453016873884718,,,
20.0,IN,INDIA,79781.0,1.2524448506527686,,,
,CH,SWITZERLAND,,,4.0,86375.0,9.147151860194455
,ME,Montenegro,,,6.0,44459.0,4.708228359506631
,NL,NETHERLANDS,,,10.0,25264.0,2.6754691125435914
,KZ,KAZAKHSTAN,,,12.0,20368.0,2.156980481487012
,BE,BELGIUM,,,14.0,17135.0,1.8146043082423384
,BA,BOSNIA AND HERZEGOVINA,,,16.0,13890.0,1.470957329529389
,ES,SPAIN,,,17.0,13029.0,1.379777037180591
,GB,UNITED KINGDOM,,,19.0,9412.0,0.9967350889510878
