year,group,mean_log_imports
2010,AL,11.152170781629122
2011,AL,11.476271853988816
2012,AL,11.613033208946604
2013,AL,11.613657284724228
2014,AL,11.80337620113299
2015,AL,11.93096452194024
2016,AL,11.659550757105908
2017,AL,11.930424540233815
2010,ME,9.346181594887597
2011,ME,9.411892497046916
2012,ME,9.260177606823355
2013,ME,9.340315448397929
2014,ME,9.535968306842717
2015,ME,9.659949949068531
2016,ME,9.524640032332234
2017,ME,9.682840881420505
2010,MK,12.673930223654605
2011,MK,12.810284781856689
2012,MK,12.569812573591024
2013,MK,12.128224611131804
2014,MK,11.847030616540527
2015,MK,11.876505513704872
2016,MK,11.962267097767867
2017,MK,11.960804899165572
2010,XS,12.47025064879396
2011,XS,12.448697203798835
2012,XS,12.53677469516755
2013,XS,12.561496306941345
2014,XS,12.816476600297701
2015,XS,12.853516143831117
2016,XS,12.86785299034062
2017,XS,13.016822845544558
2010,control_mean(AL+MK+ME),11.05742753339044
2011,control_mean(AL+MK+ME),11.232816377630806
2012,control_mean(AL+MK+ME),11.147674463120326
2013,control_mean(AL+MK+ME),11.02739911475132
2014,control_mean(AL+MK+ME),11.06212504150541
2015,control_mean(AL+MK+ME),11.155806661571214
2016,control_mean(AL+MK+ME),11.048819295735337
2017,control_mean(AL+MK+ME),11.19135677360663
